date_time_period,hourly_sales_total,hours_clocked,payroll_spend_total
2026-06-02T11:00:00,320.00,4.0,76.00
2026-06-02T12:00:00,850.00,8.0,152.00
2026-06-02T13:00:00,1200.00,10.0,190.00
2026-06-02T14:00:00,240.00,8.0,152.00
2026-06-02T15:00:00,85.00,-2.5,47.50
2026-06-02T16:00:00,90.00,6.0,114.00
2026-06-02T17:00:00,410.00,6.0,114.00
2026-06-02T18:00:00,1450.00,12.0,228.00
2026-06-02T19:00:00,2200.00,14.0,266.00
2026-06-02T20:00:00,1800.00,14.0,266.00
2026-06-02T21:00:00,980.00,10.0,190.00
2026-06-02T22:00:00,310.00,6.0,114.00
2026-06-02T22:00:00,310.00,6.0,114.00
2026-06-03T11:00:00,280.00,4.0,76.00
2026-06-03T12:00:00,720.00,8.0,152.00
2026-06-03T13:00:00,950.00,10.0,190.00
2026-06-03T14:00:00,180.00,8.0,152.00
2026-06-03T15:00:00,60.00,6.0,114.00
2026-06-03T16:00:00,75.00,6.0,114.00
2026-06-03T17:00:00,350.00,6.0,114.00
2026-06-03T18:00:00,1300.00,12.0,228.00
2026-06-03T19:00:00,1900.00,14.0,266.00
2026-06-03T20:00:00,1600.00,14.0,266.00
2026-06-03T21:00:00,850.00,10.0,190.00
2026-06-03T22:00:00,240.00,6.0,114.00
