tx_check_id,timestamp_date,employee_staff,check_total_amount,voided_amount,void_reason_code
TX-100230,2026-06-05T18:12:00,Alex M.,85.00,0.00,
TX-100231,2026-06-05T18:15:00,Sarah T.,110.00,15.00,Customer Dissatisfied
TX-100232,2026-06-05T18:22:00,John D.,45.00,0.00,
TX-100233,2026-06-05T18:30:00,Alex M.,130.00,0.00,
TX-100234,2026-06-05T18:42:00,Sarah T.,90.00,30.00,Kitchen Error
TX-100235,2026-06-05T18:55:00,John D.,75.00,0.00,
TX-100236,2026-06-05T19:10:00,Alex M.,160.00,12.00,Mistake
TX-100237,2026-06-05T19:12:00,Sarah T.,140.00,45.00,Customer Dissatisfied
TX-100238,2026-06-05T19:25:00,John D.,210.00,0.00,
TX-100239,2026-06-05T19:30:00,Alex M.,95.00,0.00,
TX-100240,2026-06-05T19:40:00,Sarah T.,80.00,0.00,
TX-100241,2026-06-05T20:00:00,Sarah T.,120.00,0.00,
TX-100242,2026-06-05T20:10:00,Alex M.,70.00,0.00,
TX-100243,2026-06-05T20:15:00,John D.,125.00,0.00,
TX-100244,2026-06-05T20:30:00,Sarah T.,240.00,0.00,
TX-100245,2026-06-05T20:45:00,Sarah T.,110.00,0.00,
TX-100246,2026-06-05T21:00:00,John D.,85.00,10.00,Kitchen Error
TX-100247,2026-06-05T21:15:00,Alex M.,105.00,0.00,
TX-100248,2026-06-05T21:20:00,Sarah T.,150.00,0.00,
TX-100249,2026-06-05T21:40:00,Sarah T.,95.00,0.00,
TX-100250,2026-06-05T22:00:00,Sarah T.,810.00,0.00,
